Unnamed: 0.1,Unnamed: 0,title,category,has_exclamation,has_question,has_number,num_count,mark_count,original_title,label_score
101,101,guru muhammadiyah tolak uu kpk,Berita_indonesia,0,0,1,2,0,40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,0
8448,8448,tiga bulan nikah ronaldo anak wajah ganteng,Hiburan_&_Selebriti,0,0,0,0,1,"Tiga Bulan Nikah, Onadio Ronaldo Dikaruniai Anak Pertama Berwajah Ganteng",1
7372,7372,sosok sukanto tanoto yang ada ikn jadi mudah begini peran,Berita_indonesia,0,0,0,0,1,"Sosok Sukanto Tanoto yang Bakal Buat Pengadaan Lahan IKN di Kaltim jadi Mudah, Begini Perannya",1
5720,5720,anggota sumut lantik,Regional_&_Daerah,0,0,1,3,0,100 Anggota DPRD Provinsi Sumut Dilantik,0
6806,6806,polisi di mayat mutilasi,Berita_indonesia,0,0,1,2,0,Polisi di Meksiko Temukan 44 Mayat yang Dimutilasi,0
1206,1206,fakta produc yang kamu tahu,Hiburan_&_Selebriti,0,0,1,3,0,Fakta Lengkap Produce X101 yang Perlu Kamu Tahu,1
5869,5869,kpk sebut isu talib citra lembaga,Berita_indonesia,0,0,0,0,0,Ketua KPK Sebut Isu Taliban untuk Rusak Citra Lembaganya,0
1862,1862,video lot smartphon cara atas,Teknologi_&_Sains,0,1,0,0,1,"Video YouTube ""Lemot"" di Smartphone? Ini Cara Mengatasinya",1
6232,6232,revisi uu potensi untung sda,Berita_indonesia,0,0,0,0,0,Revisi UU KPK Dianggap Berpotensi Untungkan Mafia SDA,0
1476,1476,sempat alami lebih berhatihati,Hiburan_&_Selebriti,0,0,0,0,1,"Sempat Alami Pendarahan, Irish Bella Lebih Berhati-Hati",0
5494,5494,hoak indonesiamalaysia kerja bidang govern public,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Tangani Hoaks, Indonesia-Malaysia Kerja Sama Bidang Government Public Relation",0
7662,7662,lirik bikin heboh mv keren untuk extrem,Hiburan_&_Selebriti,0,0,0,0,1,"Liriknya Sempat Bikin Heboh, Zico Akhirnya Rilis MV Keren Untuk 'Extreme'",1
1947,1947,vs arsen the gunner gagal tahan,Olahraga,0,0,1,1,1,"Watford Vs Arsenal, The Gunners Gagal Pertahankan Keunggulan 2 Gol ",0
4121,4121,pemprov dorong juara,Berita_indonesia,0,0,0,0,0,Pemprov Jabar Dorong Transportasi Juara,0
