title,label_score
"Masuk _ Pilwalkot Medan, _ _ _ DPW NasDem Sumut",0.0
Malaysia Sudutkan RI: _ Kabut Asap _ _ Babi,0.0
Viral! _ _ di _ Antar _ Makanan Pakai Sepeda,1.0
"_ Salurkan Rp _, 3 M bagi _ Kerusuhan _ di Papua",0.0
MPR: Amandemen _ 1945 _ Akan _ _ Mana - mana,0.0
"Peringati Tahun Baru Islam, Banyuwangi _ _ _ Muharam",0.0
"Wanita Asal _ Nyaris Diperkosa di _ _, _ Diburu",0.0
HNW Sebut GBHN Jamin _ _ RI Jangka _,0.0
"_ Motor Nyangkut di Atas _ di Sleman, _ _?",1.0
_ Jawab Protes _ Karya soal Tender _ JIS _ ke Wika,0.0
_ _ Poyuono Menolak Revisi UU _,1.0
_ Istana Presiden _ di _ 15 _ Lewat Jembatan Holtekamp,0.0
Hiasan Taman Asia _ _ _ Rusak Diterjang Angin Kencang,0.0
"_ PB Djarum _ KPAI, Fadli Zon: _ _ Dimusyawarahkan",0.0
Pengacara Ajukan _ Penahanan _ Zen,0.0
_ _ Boomerang Hubert Henry _ Kasus Ganja Ditolak Hakim,0.0
"_ BJ Habibie di _, Kepala _: Beliau Semangat _",0.0
_ _ Habibie di _ Gatot Soebroto,0.0
"_ Mobil _ Pohon di Pondok _, Pengemudi Terluka",0.0
_ _ _ Museum _ Art Gallery SBY - Ani di Pacitan,0.0
_ _ Pelaksanaan UU _ di Papua Dilanjutkan,0.0
"Tegaskan _ Pemerintah, PD: Kami _ _ Kenal _",0.0
"Peredaran _ _ _ Dibongkar, Omzet _ _ Rp 1, 5 Miliar",0.0
"Mayat _ Ditemukan di Kalimalang Bekasi, _ Korban _",0.0
"_ _ Habibie _ Penjenguk: Mohon Dimengerti, _ Perlu Istirahat",0.0
KPK Curhat Pencegahan Korupsi _ _: _ _ Negara Diselamatkan,0.0
ACT Inisiasi _ Nasional # _,0.0
_ Dukung Langkah Jokowi _ Istana di _,0.0
_ HAM _ Kaji Draf Revisi UU _,0.0
MPR Gelar Diskusi Evaluasi _ _ di _,0.0
Kocak! Maling di _ Mewah Jakut Terekam _ Bingung _ _ Kabur,1.0
_ Tanggapi DPR: _ Hukum Tak Boleh Terikat _ _,0.0
_ Sebut Dakwaan _ Zen Dipaksakan,0.0
Polisi _ Tembak Mati _ dan _ _ Lalu Bunuh Diri,0.0
_ _ Bersebo Tembak _ hingga Tewas di Sumsel,0.0
"Tepis Jadi Penyebab _ _ _, RI Akan _ Malaysia",0.0
"Jokowi _ Mekarkan _ _, JK: _ Undang - undangnya",0.0
"Viral _ _ _ _ di Sleman, Ini Kata Polisi",1.0
Kadis PU _ 2 PNS Kabupaten _ _ _ Kejati Sumut,0.0
"Banding _, Hak Politik Eks Bupati _ Dicabut _",0.0
"Kecelakaan _ 4 _ _ Lenteng Agung, 2 _ Luka - luka",0.0
"_ Bongkar _ Migas: _ _ Negara, Tak Mudah Diungkap",0.0
"Diawasi di Hong Kong, Aktivis _ _ Terbang _ _",0.0
Anggota DPRD _ _ _ Sebagai Jaminan untuk Potong Gaji,0.0
Ical _ _ Habibie _ RSPAD: Kita Doakan yang _,0.0
175 Orang _ 4 Korporasi Jadi Tersangka _ _ _ - Kalimantan,0.0
Fenomena Gadai SK Anggota Dewan _ _ di DPRD _,0.0
Akademisi _ _ Unair Tolak Revisi _ KPK,0.0
"Pegawai KPK _ _ _ DPR, Minta _ Pilih Capim yang _ KPK",0.0
"Waspada! Ada _ _ Pertamina, _ Rugi _ Juta",1.0
_: _ Besar dari Negara _,0.0
"Refleksi 5 _ _ RI, OSO: Kami _ untuk _",0.0
MUI _: _ Karhutla Orang _ Taat Beragama,0.0
Penyelundupan _. 253 _ Lobster _ Singapura _ di Makassar,0.0
"Kecelakaan _ dan _ _ di Cipularang, 2 _ Luka",0.0
"Banyak _ Negatif, HNW Khawatirkan _ _ Indonesia",0.0
KPK _ Jeratan Eks Dirut _ _ Buka Kotak Pandora _ Migas,0.0
Hamas _ _ _ Israel di Jalur Gaza,0.0
