Unnamed: 0.1,Unnamed: 0,title,category,has_exclamation,has_question,has_number,num_count,mark_count,original_title,label_score
101,101,guru rekam tinggi muhammadiyah sekat indonesia tolak revisi nata uu kpk,Berita_indonesia,0,0,1,2,0,40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,0
8448,8448,tiga permendiknas bulan halmahera nikah jika onadio ronaldo karunia anak tiki pertama wajah ganteng,Hiburan_&_Selebriti,0,0,0,0,1,"Tiga Bulan Nikah, Onadio Ronaldo Dikaruniai Anak Pertama Berwajah Ganteng",1
7372,7372,temurun sosok sukanto tanoto penulisnya yang bakal buat ada pankre lahan digelar ikn di kaltim jadi “ mudah raz begini peran,Berita_indonesia,0,0,0,0,1,"Sosok Sukanto Tanoto yang Bakal Buat Pengadaan Lahan IKN di Kaltim jadi Mudah, Begini Perannya",1
5720,5720,anggota bertanding dprd provinsi sumut galang lantik,Regional_&_Daerah,0,0,1,3,0,100 Anggota DPRD Provinsi Sumut Dilantik,0
6806,6806,style polisi di meksiko pd temu dibelakang mayat yang mutilasi,Berita_indonesia,0,0,1,2,0,Polisi di Meksiko Temukan 44 Mayat yang Dimutilasi,0
1206,1206,berkumpul fakta lengkap asal produc x habis yang perlu kamu tahu,Hiburan_&_Selebriti,0,0,1,3,0,Fakta Lengkap Produce X101 yang Perlu Kamu Tahu,1
5869,5869,kenangan ketua tampil kpk sebut isu talib untuk subscrib rusak citra lembaga,Berita_indonesia,0,0,0,0,0,Ketua KPK Sebut Isu Taliban untuk Rusak Citra Lembaganya,0
1862,1862,video chem youtub pos lot awal di smartphon es ini cara atas,Teknologi_&_Sains,0,1,0,0,1,"Video YouTube ""Lemot"" di Smartphone? Ini Cara Mengatasinya",1
6232,6232,panel revisi uu agar kpk anggap street potensi untung mafia sda,Berita_indonesia,0,0,0,0,0,Revisi UU KPK Dianggap Berpotensi Untungkan Mafia SDA,0
1476,1476,contohnya sempat alami bala darah irish bella sarung lebih berhatihati,Hiburan_&_Selebriti,0,0,0,0,1,"Sempat Alami Pendarahan, Irish Bella Lebih Berhati-Hati",0
5494,5494,keberagaman tangan hoak benz indonesiamalaysia kerja sama bidang govern fanatik public penulisnya rat,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Tangani Hoaks, Indonesia-Malaysia Kerja Sama Bidang Government Public Relation",0
7662,7662,hern lirik sempat bikin heboh sale zico cobalah akhir rili pergelangan mv keren febr untuk extrem,Hiburan_&_Selebriti,0,0,0,0,1,"Liriknya Sempat Bikin Heboh, Zico Akhirnya Rilis MV Keren Untuk 'Extreme'",1
1947,1947,watford dibeberapa vs baiknya arsen kpp the gunner gagal tahan klasemen unggul gol,Olahraga,0,0,1,1,1,"Watford Vs Arsenal, The Gunners Gagal Pertahankan Keunggulan 2 Gol ",0
4121,4121,tuk pemprov dharma jabar dorong transportasi juara,Berita_indonesia,0,0,0,0,0,Pemprov Jabar Dorong Transportasi Juara,0
5578,5578,bnn klaim selundup saling narkotika ke arak indonesia tersedia turun,Regional_&_Daerah,0,0,1,2,0,BNN Klaim Penyelundupan Narkotika ke Indonesia Menurun 30%,0
1352,1352,sinopsi dug sinetron cinta tuk buta pula tayang senin mei,Hiburan_&_Selebriti,0,0,1,5,1,"Sinopsis Sinetron 'CINTA BUTA' Tayang Senin, 6 Mei 2019",0
8535,8535,ratus korban padi bakar di setiabudi ungsi dukungannya di last rptra btw kebon menambah sawo malam ini,Regional_&_Daerah,0,0,0,0,0,Ratusan Korban Kebakaran di Setiabudi Mengungsi di RPTRA Kebon Sawo Malam Ini,0
1267,1267,sam kenyang alam main arak sinetron mehnaz marina marinez menurutnya ingin coba film layar untu lebar,Hiburan_&_Selebriti,0,0,0,0,1,"Kenyang Pengalaman Main Sinetron, Mehnaz Marinez Ingin Coba Film Layar Lebar",0
7047,7047,lalang sidang bata praperadilan kivlan zen soal berbeda sita ponsel pamer dan mobil bros tetap map jalan di pn jakarta selatan,Berita_indonesia,0,0,0,0,0,Sidang Praperadilan Kivlan Zen Soal Penyitaan Ponsel dan Mobil Tetap Berjalan di PN Jakarta Selatan,0
4357,4357,nara latih blitar bandung kini unit undur road diri,Olahraga,0,0,0,0,0,Pelatih Blitar Bandung United Mengundurkan Diri,0
8088,8088,millendaru seksi penegasan pakai subianto baju kurang bahan mirip saran taplak menghapuskan meja cara produknya jalan secepatnya aneh sorot lagi haid,Hiburan_&_Selebriti,0,1,0,0,2," Millendaru Seksi Pakai Baju Kurang Bahan Mirip Taplak Meja, Cara Jalan Aneh Disorot Lagi Haid?",1
7654,7654,personel deretan girl grup ini boulevard beber ganti alam buruk lama jadi sawah idol kpop,Hiburan_&_Selebriti,0,0,1,1,0,Personel Girl Grup Ini Beber 5 Pengalaman Terburuk Selama Jadi Idol K-Pop,1
4366,4366,dokter yasonna kukuh griya bagai nurh guru besar ilmu kriminolog batu stik,Berita_indonesia,0,0,0,0,0,Yasonna Dikukuhkan Sebagai Guru Besar Ilmu Kriminologi STIK,0
2367,2367,warga edo haru bayar matang di kantor bersantai samsat untuk dapat potong tunggak terlihat pajak,Berita_indonesia,0,0,0,0,0,Warga Harus Bayar di Kantor Samsat untuk Dapat Potongan Tunggakan Pajak,0
6081,6081,fahri direbut hamzah bj habibi bagusnya layak kesed dapat nobel,Berita_indonesia,0,0,0,0,0,Fahri Hamzah: BJ Habibie Layak Dapat Nobel,0
4824,4824,lipat bj keuntungannya habibi bapak teknolog pages yang ingin indonesia mandiri,Berita_indonesia,0,0,0,0,1,"BJ Habibie, Bapak Teknologi yang Ingin Indonesia Mandiri",0
3666,3666,bermakna jadi pimpin terges kpk ini nampak gebrak firli bahuri,Berita_indonesia,0,0,0,0,1," Jadi Pimpinan KPK, Ini Gebrakan Firli Bahuri   ",1
6234,6234,bursa kesukaran transfer liga daftar lengkap pindah membek main menimbang klub,Olahraga,0,0,1,3,0,Bursa Transfer Liga 1: Daftar Lengkap Perpindahan Pemain 18 Klub,0
7556,7556,wibawa usai lantik antar anggota dpr muda diterbitkan hillari tutur lasut langsung serang leader rkuhp,Berita_indonesia,0,0,0,0,1,"Usai Dilantik, Anggota DPR Termuda Hillary Lasut Langsung 'Serang' RKUHP",1
8073,8073,yani tembak dima juru beck informatif yuk kato lebih pilih afrika vidi aldiano,Hiburan_&_Selebriti,0,1,0,0,2," 'Ditembak' Dimas Beck, Yuki Kato Lebih Pilih Vidi Aldiano?",1
5031,5031,dpr dan perintah kebut pendaki kesah diburu revisi kamar uu masyarakat,Berita_indonesia,0,0,0,0,0,DPR dan Pemerintah Kebut Pengesahan Revisi UU Pemasyarakatan,0
6748,6748,revisi indahnya uu kpk bahas diraih di baleg dpr marak sebut terselubung dinami,Berita_indonesia,0,0,0,0,1,"Revisi UU KPK, Pembahasan di Baleg DPR Disebut Dinamis",0
2473,2473,ada pucuk langgar di hari pertama penalaran luas ganjil tengahjawa genap,Berita_indonesia,0,0,1,3,0,Ada 941 Pelanggaran di Hari Pertama Perluasan Ganjil Genap,0
6942,6942,menteri pupr bocor kiranya lokasi serangkaian calon istana presiden di memb papua,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Menteri PUPR Bocorkan Lokasi Calon Istana Presiden di Papua,0
3281,3281,cover usaha sawit malaysia dikhawatirkan segel gulung kait karhutla riau,Berita_indonesia,0,0,0,0,0,Perusahaan Sawit Malaysia Disegel Terkait Karhutla Riau,0
3481,3481,kapten koleksi dum ta mewah lucinta luna fuji bikin jiwa miskin pent netizen merontaronta,Gaya_Hidup_&_Kesehatan,0,0,1,1,0,5 Koleksi Tas Mewah Lucinta Luna Bikin Jiwa Miskin Netizen Meronta-ronta,1
5065,5065,kenal mobil kancil ridwan kamil majalah sebut item sesuai butuh western warga,Regional_&_Daerah,0,0,0,0,1,"Perkenalkan Mobil Kancil, Ridwan Kamil Sebut Sesuai Kebutuhan Warga",0
6278,6278,assist mcdonald ok luncur ventu mcdeliveri night hib in,Gaya_Hidup_&_Kesehatan,0,0,0,0,0,McDonald Luncurkan McDelivery Night In,0
2054,2054,perahu hantam ombak nelayan pendukung di disaksikan cilacap pencampuran hilang,Berita_indonesia,0,0,1,1,1,"Perahu Dihantam Ombak, 2 Nelayan di Cilacap Hilang",0
5849,5849,beli barang impor via menyesatkan ecommerc kena pajak bad ini kata company ylki keramat dan pintunya kadin,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Beli Barang Impor via E-Commerce Kena Pajak, Ini Kata YLKI dan Kadin",1
7991,7991,nayeon twice seksi umbar koordinator perut ditambahkan di mengawasi mcountdown tikar netizen kritik therap habishabisan,Hiburan_&_Selebriti,1,0,0,0,2,"Nayeon Twice Seksi Umbar Perut di 'M!Countdown', Netizen Kritik Habis-Habisan",1
5820,5820,tektonik talenta bakat direksi blind audit the voic gita indonesia,Gaya_Hidup_&_Kesehatan,0,0,1,1,0,6 Talenta Berbakat Blind Audition The Voice Indonesia,1
2622,2622,bj ongkir habibi punya nemu jiwa ngeliat entrepreneur tinggi,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,BJ Habibie Punya Jiwa Entrepreneur Tinggi,1
3599,3599,dovizioso rujukan melempem gx marquez betapa jalan pas balap lebih tenang di kendati misano,Olahraga,0,0,0,0,1,"Dovizioso Melempem, Marquez Jalani Balapan Lebih Tenang di Misano",0
7297,7297,buah tab anggur dari tiongkok pinggang jual akan di lubuklinggau dihidangkan rp ribu orange per kg nyata kandung dises formalin,Regional_&_Daerah,0,0,1,2,1,"Buah Anggur dari Tiongkok Dijual di Lubuklinggau Rp 50 Ribu Per Kg, Ternyata Mengandung Formalin",1
2920,2920,teroris mau utk jago gymkhana miras simak trik,Teknologi_&_Sains,0,0,0,0,1,"Mau Jago Gymkhana, Simak Triknya",1
6187,6187,kepala ketupat bkpm drink banyak tiong izin jadi obyek pungli,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Kepala BKPM: Banyak Izin Dijadikan Obyek Pungli,0
7452,7452,kiranya video detikdetik anggota chart dpd ri profesionalfoto nyari baku hantam perpanjang saat rapat paripurna,Berita_indonesia,0,0,0,0,0,Video Detik-detik Anggota DPD RI Nyaris Baku Hantam Saat Rapat Paripurna,1
6403,6403,wikimedia liga rabu hari ini sebagainya jadwal siar langsung gangguan dan klasemen,Olahraga,0,0,1,1,0,Liga 1 Rabu Hari Ini: Jadwal Siaran Langsung dan Klasemen,0
1388,1388,sinopsi sinetron dian cinta buta referensi episod cet tayang mei,Hiburan_&_Selebriti,0,0,1,9,1,"Sinopsis Sinetron 'CINTA BUTA' Episode 125, Tayang 15 Mei 2019",0
