Unnamed: 0.1,Unnamed: 0,title,category,has_exclamation,has_question,has_number,num_count,mark_count,original_title,label_score
101,101,guru tinggi muhammadiyah _ _ revisi _ kpk,Berita_indonesia,0,0,1,2,0,40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,0
8448,8448,_ bulan nikah onadio ronaldo _ _ pertama wajah ganteng,Hiburan_&_Selebriti,0,0,0,0,1,"Tiga Bulan Nikah, Onadio Ronaldo Dikaruniai Anak Pertama Berwajah Ganteng",1
7372,7372,sosok sukanto _ yang _ _ ada _ _ di kaltim jadi mudah begini peran,Berita_indonesia,0,0,0,0,1,"Sosok Sukanto Tanoto yang Bakal Buat Pengadaan Lahan IKN di Kaltim jadi Mudah, Begini Perannya",1
5720,5720,anggota _ _ sumut lantik,Regional_&_Daerah,0,0,1,3,0,100 Anggota DPRD Provinsi Sumut Dilantik,0
6806,6806,_ di meksiko temu _ yang _,Berita_indonesia,0,0,1,2,0,Polisi di Meksiko Temukan 44 Mayat yang Dimutilasi,0
1206,1206,fakta lengkap _ x yang perlu _ _,Hiburan_&_Selebriti,0,0,1,3,0,Fakta Lengkap Produce X101 yang Perlu Kamu Tahu,1
5869,5869,ketua _ _ isu talib untuk rusak citra _,Berita_indonesia,0,0,0,0,0,Ketua KPK Sebut Isu Taliban untuk Rusak Citra Lembaganya,0
1862,1862,video _ _ di smartphon ini _ atas,Teknologi_&_Sains,0,1,0,0,1,"Video YouTube ""Lemot"" di Smartphone? Ini Cara Mengatasinya",1
6232,6232,revisi _ kpk _ _ untung mafia sda,Berita_indonesia,0,0,0,0,0,Revisi UU KPK Dianggap Berpotensi Untungkan Mafia SDA,0
1476,1476,sempat _ darah _ _ lebih berhatihati,Hiburan_&_Selebriti,0,0,0,0,1,"Sempat Alami Pendarahan, Irish Bella Lebih Berhati-Hati",0
5494,5494,tangan _ indonesiamalaysia kerja _ _ govern public rat,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Tangani Hoaks, Indonesia-Malaysia Kerja Sama Bidang Government Public Relation",0
7662,7662,lirik sempat bikin _ _ _ rili mv _ untuk extrem,Hiburan_&_Selebriti,0,0,0,0,1,"Liriknya Sempat Bikin Heboh, Zico Akhirnya Rilis MV Keren Untuk 'Extreme'",1
