title,label_score
"masuk radar parts pilwalkot medan, menantu bkp jokowi bertemu sej dpw sesed nasdem sumut",0.0
malaysia bekas sudutkan ri : mach isu agunan kabut asap kedap hingga invasi babi,0.0
viral! driver ojol di bekasi menengah antar klaim pesanan beri makanan screens pakai sepeda,1.0
"kemensos kod salurkan rp mewarnai 7, 3 m provinsi bagi korban lucu kerusuhan sosial diakui di papua",0.0
mpr : amandemen uud 1945 tak purna akan sampaikan melebar ke oto mana - cobain mana,0.0
"otak peringati arca tahun baru islam, banyuwangi kembali sukses gelar mars festival muharam",0.0
"menjadikannya wanita asal kendari nyaris snsd diperkosa di jalanan nad makassar, pelaku menganggu diburu",0.0
hnw barulah sebut gbhn eku jamin temukan rencana pembangunan ri jangka bpup panjang,0.0
"ada advance motor nyangkut berdi di kapita atas bambu seconds di sleman, kok milyaran bisa?",1.0
jakpro terhubung jawab protes kelem adhi karya dapati soal kek tender proyek jis tato diberi ke wika,0.0
pesan mutu gamblang xpasang poyuono menolak revisi menye uu kpk,1.0
lokasi istana presiden kicauan ri di penerbangan papua andahapus 15 menit baba lewat jembatan holtekamp,0.0
hiasan taman asia homo afrika di penurunan bandung lav rusak diterjang angin internal kencang,0.0
"polemik kepon pb djarum bruto dan kemajuan kpai, fadli spg zon : uu mestinya bisa dimusyawarahkan",0.0
pengacara wir ajukan penangguhan menjadi penahanan biak kivlan zen,0.0
eksepsi selatansulawesi bassist homes boomerang hubert mengangkat henry dalam kasus ganja didi ditolak mantan hakim,0.0
"jenguk perolehan bj pinang habibie di rspad, rohani kepala menyisakan bppt : beliau administrasi semangat recovery",0.0
ngaku jk stadium jenguk bekas habibie di rspad wedding gatot soebroto,0.0
"nya sebuah mobil tertimpa pohon pendidikan di peresmian pondok indah, pengemudi terluka",0.0
demokrat akan bangun mengingkari museum dimasa dan art gallery psikotrop sby - ani pemberontak di pacitan,0.0
berib mendagri jamin sekitar pelaksanaan uu otsus terulang di papua dilanjutkan,0.0
"tegaskan sensus dukung penari pemerintah, pd : kami golongan tak pernah jones kenal oposisi",0.0
"peredaran snack dikemudian tanpa apps izin dibongkar, omzet sebulan capai rp sela 1, akuntabel 5 apr miliar",0.0
"mayat pria dek ditemukan di pidato kalimalang bann bekasi, keunikan diduga korban tenggelam",0.0
"pesan pemuk anak habibie ke daur penjenguk : meledak mohon kapolri dimengerti, bapak memberatkan perlu istirahat",0.0
dipa kpk sebutkan curhat pencegahan korupsi abk tak selatansulawesi dianggap : banyak uang negara diselamatkan,0.0
kurs act nasa inisiasi angan gerakan nasional # indonesiadermawan,0.0
menca demokrat dukung homes langkah jokowi bangun istana di fund papua,0.0
eks menkum ham sudah kaji draf ukiran revisi uu pose kpk,0.0
pasal mpr end gelar diskusi evaluasi duri pelaksanaan uud di yogyakarta,0.0
kocak! profit maling di rumah prudential mewah jakut terekam lainya cctv bingung cari tambak jalan chief kabur,1.0
tdp kpk tanggapi dideskripsikan dpr : stories penegakan hukum tak boleh bisby terikat komitmen politik,0.0
banten pengacara sebut dakwaan tindak kivlan jauh zen dipaksakan,0.0
polisi belanda tembak number mati istri resume dan sekolah 2 putrinya lalu rendah bunuh diri,0.0
6 pack perampok bersebo kingdom tembak warga hingga tewas di bawahan sumsel,0.0
"tepis jadi kelulusan penyebab milyar tunggal penduduknya kabut asap, pokoknya ri akan surati malaysia",0.0
"jokowi ikhtisar diminta silik mekarkan kemanusiaan wilayah papua, ikhtisar jk : ada undang - menyir undangnya",0.0
"manusiawi viral cu video surat diduga baku tembak di sleman, ini percepatan kata polisi",1.0
kadis pu vital dan bak 2 hilangnya pns kabupaten mandailing natal ditahan kejati berm sumut,0.0
"hus banding ditolak, hak cilik politik mempraktikkan eks komentarmuat bupati katingan dicabut hakim",0.0
"kecelakaan pemohon beruntun 4 membungkus kendaraan di lenteng kredit agung, 2 pemotor nol luka - suaka luka",0.0
"kpk bongkar bey mafia ucap migas : peleburan transaksi lintas negara, tak urus mudah diungkap",0.0
"diderita diawasi di iso hong pecandu kong, aktivis joshua memperk wong terbang ke berlin",0.0
dipuji anggota dprd surabaya gadaikan sk papan sebagai mengukur jaminan untuk potong tahunnya gaji,0.0
ical kaca jenguk bj veteran habibie di rspad : menghantam kita benci doakan rubrik yang terbaik,0.0
mahalnya 175 orang cole dan 4 penghasil korporasi jadi tersangka skor karhutla kul di sumatera - kalimantan,0.0
keim fenomena gadai pemant sk papan anggota dewan juga terjadi di dprd serang,0.0
akademisi prog dan dipertahankan mahasiswa unair tolak revisi uu penafsiran kpk,0.0
"saka pegawai kpk surati peningkatan fraksi besaran di dpr, minta tak pilih kekurangan capim math yang kath lemahkan kpk",0.0
"waspada! pemetaan ada col penipuan catut fo pertamina, korbannya rugi prasyarat puluhan juta",1.0
ketahanan ekoturisme : pelajaran besar everc dari nuansa negara kecil,0.0
"refleksi baratriausul 5 tahun dpd labu ri, bisby oso : kami ada remas untuk daerah",0.0
mui kew riau : dimul pelaku karhutla orang tak yudhoyono taat anting beragama,0.0
agar penyelundupan 19. col 253 benih makam lobster tujuan lupa singapura pcb digagalkan di makassar,0.0
"kecelakaan undangan beruntun dan truk ultah terbakar di pernapasan cipularang, 2 orang dibenci luka",0.0
"banyak berita ppdb negatif, hnw tog khawatirkan ped moral bangsa prestasinya indonesia",0.0
kpk berbunyi harap dasar jeratan eks dirut petral bisa buka kotak straw pandora nato mafia anti migas,0.0
gemstone hamas tembak jatuh mantan drone israel di jalur gilirannya gaza,0.0
tetap jpu diap keberatan kivlan zen ikutan didampingi kuasa hukum barul dari militer,0.0
"jaksa eku beberkan peningkatan senpi - menye peluru tajam saka pembelian kivlan un zen cs, ini eropa rinciannya",1.0
penyelund dishub minta menye polda buktikan data kebutuhan e - akrilik tle di area perluasan alquran ganjil genap,0.0
polisi olah mantan tkp kecelakaan keunggulan maut tewaskan 3 orang markas di kewira nganjuk,0.0
"resolusi uang miliaran rupiah milik pemprov dp sumut kred hilang, koq polisi turun tangan",0.0
menkum praja ham tentara soal menghina cabut disembunyikan paspor veronica selengkapnya koman : ada ketentuannya,0.0
sering terku quality time bersama keluarga? berlayar ternyata ini dipergunakan 3 latin manfaatnya!,1.0
"menteri jokowi kalo 55 % dy profesional, menjunjung ini kandidatnya?",1.0
lipi desak kains jokowi tolak revisi tir uu kpk yang eksportir lumpuhkan generasi kinerja kpk,0.0
"jawab kasus cakep penyerangan phk ditutup, pemotor naik trotoar berkol tetap ditilang",0.0
bareskrim tangkap 2 pembobol diis yang dibareng rugikan bank irak bumn rp sans 16 serabut miliar,0.0
"datang ke pembekalan unas caleg dipecat terpilih demokrat, sby beri demam arahan modalbagaimana tertutup",0.0
wikipedia aktivis perempuan photos nilai ruu pks tersandera timbal oleh ruu menenangkan kuhp,0.0
"ibadat belum terkaya teridentifikasi, 4 korban panasonic kecelakaan cipularang newton diduga perempuan",0.0
siswi smk bandung lakon ditikam dekat lg sekolah karena pictures tolak cinta review pelaku,0.0
"jika tak minimum kunjung penuhi oki panggilan, pokoknya veronica koman bes bakal jadi simbol dpo",0.0
"km pria refr misterius berjubah magister putih sni viral di sumut, ingatkan'sertifikat tuhan murka '",1.0
dias polisi ubah simpulkan bos sembako di cilegon menteri tewas bunuh diri,0.0
jasa menengok pantai mustika selfie banyuwangi,0.0
"asap ehh pekat tindih selimuti riau, pemprov gelar salat kedelai minta hujan hamba besok",0.0
"soal hilir kontrak politik capim kpk, bea fahri nyi sebut subianto agar cilandak taat undang - undang",0.0
caketum hipmi : pengusaha sisanya ri klorida harus arke punya jiwa remunerasi nasionalisme yang kuat,0.0
"berfoto kpu solo ajukan dana rp komentarmuat 17, 8 pembiayaan m untuk neb pilwalkot kec 2020",0.0
utusan khusus presiden akan review gelar dng munas tokoh buruknya antaragama,0.0
"panggil dimasa veronica eth koman, polisi propinsi tunggu hingga loc dua dikunjungi pekan ke depan",0.0
kpk tetapkan eks didek pejabat kawan pertamina energy tersangka zoom mafia migas,0.0
"dipeluk husein istri kap sebelum most jalani sidang, kivlan tubuh zen menangis",0.0
"video ago porno dibandingkan di sumedang disebar membanggakan pemeran pria, dibungkus apa motifnya?",1.0
"icw : jangan memuja pertaruhkan era kpk, pak dp jokowi",0.0
siapakah terungkap! video porno di penerbangan sumedang diperankan pasangan disekolah selingkuh,1.0
"cita bocah di ham bekasi disebut erat tewas karena bully, pokoknya kpad imbau action keluarga melapor",0.0
jk soal links revisi uu kpk : narr penuntutan dida tak ciptaannya perlu koordinasi dengan sayakamar jaksa agung,0.0
komisi iii segera dpr role pastikan tampung semua masukan neger soal capim photos kpk,0.0
"tokoh menebus papua yang diundang ts jokowi gej eks timses, istana : pemberontak kebetulan saja",0.0
wagub jabar pula minta retensi pekerja di lingkungan lho pemprov deh jabar daftar bpjs tk,0.0
anak tep dan arke cucu cagar berkumpul temani bj habibie menyimpang di rspad corner gatot soebroto,0.0
"ketek gara - gara setinggi puntung kontekstual rokok, 28 hektare kendati lahan di sulteng lengkapnya terbakar",0.0
"komersial topan faxai hantam malam jepang, dijatuhkan 17. agraria 000 terus penumpang telantar di bandara bersedia narita",0.0
"gajah mengamuk ketika administr ikut festival tandat agama bersekolah di sri lanka, regu 18 terluka",0.0
"waduk pacal kore di nunukan bojonegoro surut, jejak lahan pertanian di sbg 4 kecamatan kekeringan",0.0
speedcash komisi iii tuntas dpr gelar khusus rdpu fauna tampung masukan soal seleksi capim kpk,0.0
"sedap hut angka ke - 70, diagonal brigif raider surut 13 ziarah ke makam bupati mutasi galuh ciamis",0.0
tricks pesan ekstrakurikuler kpk ke jokowi : pembangunan tak account tercapai dibayar jika masih digerogoti iq korupsi,0.0
40 perguruan tinggi memperpanjang muhammadiyah se - indonesia pasal tolak hampir revisi uu berkaca kpk,0.0
mencerdaskan 1. 904 pelanggar kebangk ditilang menganggu di hari panitia perdana perluasan ganjil - genap menganggu kemarin,0.0
4 bulan mec lagi batal polrestabes surabaya punya tempat parkir mengundurkan bertingkat,0.0
"password sepekan dilantik, anggota dprd tersel jabar gadai sk ke teras bank",0.0
"tiram poyuono : jelas, gemstone pemerintah - penghasilan dpr pakaian revisi bh uu kpk agar mudah rampok uang generation negara",0.0
futures ratusan mahasiswa surabaya lainnya dukung revisi uu purna kpk,0.0
karun abraham samad : layak jokowi diadili harus minta sesu dpr setop pembahasan revisi uu kpk,0.0
satgas mewarnai karhutla observ investigasi penyebab kebakaran kebun tebu selatansulawesi ptpn penyemp vii ogan ilir,0.0
"fenomena skl anggota dewan gadaikan otak sk, di dprd kenaikan surabaya julukan juga ada",0.0
anies anggap dihargai perbaikan udara noni jakarta lewat ganjil erat genap tak kadi bisa instan,0.0
