title,label_score
"Masuk Medan Radar Pilwalkot, Menantu Jokowi Bertemu DPW NasDem Sumut",0.0
Malaysia RI Sudutkan: Isu Kabut hingga Asap Babi Invasi,0.0
Viral! Driver di Ojol Antar Bekasi Makanan Pesanan Sepeda Pakai,1.0
"Salurkan kemensos Rp 7 3, bagi M Korban Sosial Kerusuhan di Papua",0.0
: Amandemen MPR UUD 1945 Tak Akan Mana Melebar ke - mana,0.0
"Peringati Baru Islam Tahun, Kembali Banyuwangi Gelar Festival Muharam",0.0
"Kendari Asal wanita Nyaris Diperkosa di Jalanan Makassar Pelaku, Diburu",0.0
HNW GBHN Jamin Sebut Rencana Pembangunan RI Panjang Jangka,0.0
"Motor ada di Nyangkut Atas di Bambu Sleman Kok, Bisa?",1.0
Jawab JakPro Protes Adhi soal Karya Tender Proyek JIS ke Wika Diberi,0.0
Pesan Gamblang Menolak Poyuono Revisi UU KPK,1.0
Istana lokasi RI Presiden di 15 Papua Lewat Menit Jembatan Holtekamp,0.0
Hiasan Taman Asia Afrika di Bandung Kencang Rusak Diterjang Angin,0.0
"PB polemik dan Djarum KPAI, Zon Fadli Mestinya: Bisa Dimusyawarahkan",0.0
Pengacara Ajukan Penangguhan Kivlan Zen Penahanan,0.0
Eksepsi Bassist Hubert Boomerang dalam Henry Kasus Ganja Hakim Ditolak,0.0
"Jenguk di BJ Habibie RSPAD, Kepala BPPT: Semangat Recovery Beliau",0.0
Jenguk JK Habibie RSPAD Gatot di Soebroto,0.0
"Sebuah Mobil Tertimpa Pohon di Indah, Pondok Terluka Pengemudi",0.0
Akan Bangun demokrat dan Museum Art Gallery SBY - Ani Pacitan di,0.0
Jamin mendagri UU Otsus Pelaksanaan di Papua Dilanjutkan,0.0
"Tegaskan Dukung Pemerintah, PD: Tak Kami Pernah Oposisi Kenal",0.0
"Snack peredaran Tanpa Izin, Dibongkar Omzet Capai Sebulan 1 Rp 5, Miliar",0.0
"Pria mayat Kalimalang Ditemukan di Bekasi, Diduga Korban Tenggelam",0.0
"Habibie pesan ke Anak: Penjenguk Mohon Dimengerti, Bapak Perlu Istirahat",0.0
Curhat KPK Pencegahan Tak Korupsi Dianggap: Uang Banyak Diselamatkan Negara,0.0
Inisiasi ACT Nasional Gerakan # IndonesiaDermawan,0.0
Demokrat Langkah Dukung Jokowi Bangun di Papua Istana,0.0
HAM Sudah menkum Draf Kaji Revisi UU KPK,0.0
MPR Diskusi Gelar Evaluasi di Pelaksanaan UUD Yogyakarta,0.0
Kocak! di Maling Rumah Jakut Terekam Mewah CCTV Bingung Jalan Cari Kabur,1.0
KPK DPR Tanggapi: Penegakan Hukum Tak Terikat Boleh Komitmen Politik,0.0
Sebut pengacara Dakwaan Kivlan Dipaksakan Zen,0.0
