title,label_score
"Radar Pilwalkot, Jokowi Bertemu DPW NasDem",0
Sudutkan RI: Isu Kabut Asap Invasi Babi,0
! Ojol di Bekasi Antar Pesanan Pakai,1
"Kemensos Salurkan Rp 7, 3 bagi Korban Papua",0
"Terkait di, Seorang Pria Ditangkap Polisi",0
"Uang, 6 Raib di Parkiran Kantor Gubernur Sumut Honor TAPD",0
MPR: UUD 1945 Melebar Mana - mana,0
Muncul Istana di Tengah,0
"Peringati Islam, Banyuwangi Kembali Festival Muharam",0
"Asal Diperkosa di Makassar, Pelaku Diburu",0
HNW Sebut GBHN Jamin RI Jangka,0
"Motor di Atas Bambu di Sleman, Kok?",1
Jawab Protes Adhi Karya Tender JIS ke Wika,0
Pesan Gamblang Poyuono KPK,1
"Di Malang Adalah Begal, Remaja yang Dipalaknya",0
"Jenguk Habibie, Ketua Pers M: Positif,",0
Istana Presiden RI Papua 15 Menit Jembatan,0
Hiasan Taman di Bandung Rusak Diterjang Kencang,0
"Polemik, Fadli Zon: Mestinya Bisa Dimusyawarahkan",0
Ajukan Penangguhan Penahanan Kivlan,0
Pria Depresi Bakar Sendiri Tempat Pembuangan Akhir,0
Eksepsi Bassist Boomerang dalam Kasus Ditolak Hakim,0
"BJ Habibie di, BPPT: Semangat Recovery",0
Jenguk Habibie di Soebroto,0
"Sebuah Mobil Tertimpa di Indah, Terluka",0
Akan Bangun dan Art Gallery SBY - Ani di,0
Mendagri Jamin Pelaksanaan UU Dilanjutkan,0
Cegah Ketua Fraksi Melchias Mekeng ke Negeri,0
"Tegaskan Dukung Pemerintah, PD: Tak",0
"Peredaran Snack Tanpa Izin Dibongkar, Capai, 5",0
"Mayat Pria Ditemukan Kalimalang, Diduga Korban",0
"Anak Habibie Penjenguk: Mohon Dimengerti, Perlu Istirahat",0
KPK Curhat Korupsi Tak: Banyak Uang,0
ACT Inisiasi Gerakan #,0
Demokrat Langkah Bangun di Papua,0
Menkum Kaji Revisi UU KPK,0
MPR Diskusi Evaluasi UUD di,0
Detik - detik Lima Kendaraan Alami Beruntun,1
Kocak! Maling di Rumah Mewah Jakut CCTV Jalan,1
"Kasus Dibuang di Asrama Papua, Polisi Masuk",0
KPK Tanggapi: Penegakan Tak Boleh Komitmen,0
Kronologi Barista Tikam Siswi Bandung karena,0
Pengacara Sebut Zen Dipaksakan,0
Polisi Mati Istri 2 Putrinya Lalu Bunuh,0
6 Perampok Bersebo Warga Tewas di,0
"Tepis Jadi Asap, Akan Surati Malaysia",0
"Diminta Mekarkan Wilayah Papua, JK: Undang -",0
"Respons, KPK SP3 Disalahgunakan",0
"Seluas Jabar, Ini Tantangan Sintang Siapkan",1
"Viral Video Baku Tembak di Sleman,",1
Kadis PU 2 Kabupaten Natal Kejati Sumut,0
"Ditolak, Hak Politik Eks Katingan Dicabut Hakim",0
"SK Hal yang Wajar, DPRD: Tak Banyak Bank",0
"Karyawan Boneka Keracunan, Polisi Nangka",0
