,title,sub-category,label_score,has_exclamation,has_question,has_number,mark_count,total_character,original_title
0,masuk radar pilwalkot medan menantu jokowi temu dpw nasdem sumut,1,0,0,0,0,0,64,"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut"
1,malaysia sudut ri isu kabut asap hingga invasi babi,1,0,0,0,0,0,51,Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi
2,viral driver ojol di bekas antar pesan makan pakai sepeda,1,1,0,0,0,0,57,Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda
3,kemenso salur rp m bagi korban rusuh sosial di papua,1,0,0,0,0,0,52,"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua"
4,kait mayat bayi enas di tangerang orang pria tangkap polisi,1,0,0,0,0,0,59,"Terkait Mayat Bayi Mengenaskan di Tangerang, Seorang Pria Ditangkap Polisi"
5,uang rp m yang raib di parkir kantor gubernur sumut untuk honor tapd,1,0,0,0,0,0,68,"Uang Rp 1,6 M yang Raib di Parkiran Kantor Gubernur Sumut untuk Honor TAPD"
6,mpr amandemen uud tak akan lebar ke manamana,1,0,0,0,0,0,44,MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana
7,muncul istana di tengah rekonsiliasi rusuh papua,1,0,0,0,0,0,48,Muncul Istana di Tengah Rekonsiliasi Rusuh Papua
8,ingat tahun baru islam banyuwangi kembali gelar festiv muharam,1,0,0,0,0,0,62,"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam"
9,wanita asal kendari nyari perkosa di jalan makassar laku buru,1,0,0,0,0,0,61,"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu"
10,hnw sebut gbhn jamin rencana bangun ri jangka panjang,1,0,0,0,0,0,53,HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang
11,ada motor nyangkut di ata bambu di sleman kok bisa,1,1,0,0,0,0,50,"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?"
12,jakpro jawab prote adhi karya soal tender proyek ji beri ke wika,1,0,0,0,0,0,64,JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika
13,pesan gamblang poyuono tolak revisi uu kpk,1,1,0,0,0,0,42,Pesan Gamblang Poyuono Menolak Revisi UU KPK
14,mayat di ladang tebu malang adalah begal bunuh remaja yang palak,1,0,0,0,0,0,64,"Mayat di Ladang Tebu Malang Adalah Begal, Dibunuh Remaja yang Dipalaknya"
15,jenguk bj habibi ketua dewan per m nuh proses positif bagu,1,0,0,0,0,0,58,"Jenguk BJ Habibie, Ketua Dewan Pers M Nuh: Prosesnya Positif, Bagus"
16,lokasi istana presiden ri di papua menit lewat jembatan holtekamp,1,0,0,0,0,0,65,Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp
17,hias taman asia afrika di bandung rusak terjang angin kencang,1,0,0,0,0,0,61,Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang
18,polemik pb djarum dan kpai fadli zon mesti bisa musyawarah,1,0,0,0,0,0,58,"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan"
19,acara aju tangguh tahan kivlan zen,1,0,0,0,0,0,34,Pengacara Ajukan Penangguhan Penahanan Kivlan Zen
20,orang pria depresi bakar mobil sendiri di tempat buang akhir,1,0,0,0,0,0,60,Seorang Pria Depresi Bakar Mobilnya Sendiri di Tempat Pembuangan Akhir
21,eksepsi bassist boomerang hubert henri dalam kasu ganja tolak hakim,1,0,0,0,0,0,67,Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim
22,jenguk bj habibi di rspad kepala bppt beliau semangat recoveri,1,0,0,0,0,0,62,"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery"
23,jk jenguk habibi di rspad gatot soebroto,1,0,0,0,0,0,40,JK Jenguk Habibie di RSPAD Gatot Soebroto
24,buah mobil timpa pohon di pondok indah kemudi luka,1,0,0,0,0,0,50,"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka"
25,demokrat akan bangun museum dan art galleri sbyani di pacitan,1,0,0,0,0,0,61,Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan
26,mendagri jamin laksana uu otsu di papua lanjut,1,0,0,0,0,0,46,Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan
27,kpk cegah ketua fraksi golkar melchia mekeng ke luar negeri,1,0,0,0,0,0,59,KPK Cegah Ketua Fraksi Golkar Melchias Mekeng ke Luar Negeri
28,tegas dukung perintah pd kami tak pernah kenal oposisi,1,0,0,0,0,0,54,"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi"
29,edar snack tanpa izin bongkar omzet bulan capai rp miliar,1,0,0,0,0,0,57,"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar"
30,mayat pria temu di kalimalang bekas duga korban tenggelam,1,0,0,0,0,0,57,"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam"
31,pesan anak habibi ke jenguk mohon erti bapak perlu istirahat,1,0,0,0,0,0,60,"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat"
32,kpk curhat cegah korupsi tak anggap banyak uang negara selamat,1,0,0,0,0,0,62,KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan
33,act inisiasi gera nasion indonesiadermawan,1,0,0,0,0,0,42,ACT Inisiasi Gerakan Nasional #IndonesiaDermawan
34,demokrat dukung langkah jokowi bangun istana di papua,1,0,0,0,0,0,53,Demokrat Dukung Langkah Jokowi Bangun Istana di Papua
35,menkum ham sudah kaji draf revisi uu kpk,1,0,0,0,0,0,40,Menkum HAM Sudah Kaji Draf Revisi UU KPK
36,mpr gelar diskusi evaluasi laksana uud di yogyakarta,1,0,0,0,0,0,52,MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta
37,detikdetik lima kendara alami celaka untun di cipularang,1,1,0,0,0,0,56,Detik-detik Lima Kendaraan Alami Kecelakaan Beruntun di Cipularang
38,kocak male di rumah mewah jakut rekam cctv bingung cari jalan kabur,1,1,0,0,0,0,67,Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur
39,selidik kasu ular buang di asrama papua polisi terganj aks masuk,1,0,0,0,0,0,64,"Selidiki Kasus Ular Dibuang di Asrama Papua, Polisi Terganjal Akses Masuk"
40,kpk tanggap dpr tega hukum tak boleh ikat komitmen politik,1,0,0,0,0,0,58,KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik
41,kronolog barista tikam siswi smk bandung karena cinta tolak,1,0,0,0,0,0,59,Kronologi Barista Tikam Siswi SMK Bandung karena Cinta Ditolak
42,acara sebut dakwa kivlan zen paksa,1,0,0,0,0,0,34,Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan
43,polisi belanda tembak mati istri dan putri lalu bunuh diri,1,0,0,0,0,0,58,Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri
44,rampok bersebo tembak warga hingga tewa di sumsel,1,0,0,0,0,0,49,6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel
45,tepi jadi sebab tunggal kabut asap ri akan surati malaysia,1,0,0,0,0,0,58,"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia"
46,jokowi minta mekar wilayah papua jk ada undangundangnya,1,0,0,0,0,0,55,"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya"
47,respon jk kpk sebut sp bisa disalahgunakan,1,0,0,0,0,0,42,"Respons JK, KPK Sebut SP3 Bisa Disalahgunakan"
48,hampir selua jabar ini tantang sintang siap generasi ema,1,1,0,0,0,0,56,"Hampir Seluas Jabar, Ini Tantangan Sintang Siapkan Generasi Emas"
