title;label_score;link;tahun
Korban Banjir Jati Asih Dapat Bantuan Baju hingga Alat Kebersihan;0;Korban Banjir Jati Asih Dapat Bantuan Baju hingga Alat Kebersihan (detik.com);2020
Jokowi Akan Habiskan Malam Tahun Baru Bareng Keluarga di Istana Bogor;0;Jokowi Akan Habiskan Malam Tahun Baru Bareng Keluarga di Istana Bogor (detik.com);2020
Nias Diguncang Gempa Berkekuatan 5,2 Magnitudo di Penghujung Tahun 2020;0;Nias Diguncang Gempa Berkekuatan 5,2 Magnitudo di Penghujung Tahun 2020 - Regional Liputan6.com;2020
Pemprov DKI Tak Akan Beri Izin DWP Digelar Tahun 2020;0;Pemprov DKI Tak Akan Beri Izin DWP Digelar Tahun 2020 (kompas.com);2020
Jurus Edhy Berantas Pencuri Ikan: Tahun 2020, Waktu Operasi Kapal Pengawas KKP Ditambah;0;Pemprov DKI Tak Akan Beri Izin DWP Digelar Tahun 2020 (kompas.com);2020
Viral Video Sepasang Turis Asing Ceburkan Diri Bersama Motor ke Laut;1;Viral Video Sepasang Turis Asing Ceburkan Diri Bersama Motor ke Laut Halaman all - Kompas.com;2020
Wirang Birawa Beber Firasat 'Air Tumpah', Salmafina Sunan Sebut Nama Kota;1;Wirang Birawa Beber Firasat 'Air Tumpah', Salmafina Sunan Sebut Nama Kota (wowkeren.com);2020
Pernah Doa Di Depan Kakbah, Millendaru Yakin Tuhan Beri Izin Jadi Wanita?;1;Pernah Doa di Depan Kakbah, Millendaru Yakin Tuhan Beri Izin Jadi Wanita? (wowkeren.com);2020
Nia Ramadhani Sempat Deg-Degan Rayakan Ultah Papa Mertua, Tulisan Penuh Cinta Dipuji Habis-Habisan;1;Nia Ramadhani Sempat Deg-Degan Rayakan Ultah Papa Mertua, Tulisan Penuh Cinta Dipuji Habis-Habisan (wowkeren.com);2020
"Viral, Video Truk Tangki ""Bergoyang"" di Ngawi, Kendaraan Ditahan Satu Bulan";1;"Viral, Video Truk Tangki ""Bergoyang"" di Ngawi, Kendaraan Ditahan Satu Bulan (kompas.com)";2020
Tambah 8.072, Kasus Corona RI Per 1 Januari Jadi 751.270;0;Tambah 8.072, Kasus Corona RI Per 1 Januari Jadi 751.270 (detik.com);2021
Ditangkap, Pelaku Parodi Indonesia Raya Adalah Pelajar WNI;0;Ditangkap, Pelaku Parodi Indonesia Raya Adalah Pelajar WNI (detik.com);2021
Pemkab Banyuwangi Doa Bersama Ustaz Yusuf Mansur di Malam Tahun Baru;0;Pemkab Banyuwangi Doa Bersama Ustaz Yusuf Mansur di Malam Tahun Baru (detik.com);2021
Usai Cak Imin, Kini Fahri Hamzah Temui Gibran;0;Usai Cak Imin, Kini Fahri Hamzah Temui Gibran (detik.com);2021
Komunitas Tionghoa Cirebon Protes Lahan Bong Ku Tiong Diserobot;0;Komunitas Tionghoa Cirebon Protes Lahan Bong Ku Tiong Diserobot (detik.com);2021
