title,label_score
"Radar masuk Pilwalkot Medan, Menantu Jokowi Bertemu DPW Sumut NasDem",0.0
Malaysia RI Sudutkan: Kabut Isu Asap Invasi hingga Babi,0.0
! Driver viral Ojol di Antar Bekasi Pesanan Pakai Makanan Sepeda,1.0
"Salurkan kemensos 7 Rp 3, M bagi Korban Sosial Kerusuhan di Papua",0.0
"Terkait Mayat Bayi di Mengenaskan Tangerang Seorang Pria, Polisi Ditangkap",0.0
"Uang, Rp 1 6 yang M Raib di Parkiran Gubernur Kantor Sumut untuk TAPD Honor",0.0
MPR Amandemen: UUD 1945 Tak Akan ke Melebar mana Mana -,0.0
Muncul Istana di Tengah Rekonsiliasi Papua Rusuh,0.0
"Peringati Tahun Baru Islam Banyuwangi, Gelar Festival Kembali Muharam",0.0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan, Makassar Diburu Pelaku",0.0
Sebut HNW GBHN Jamin Pembangunan Rencana Jangka RI Panjang,0.0
"Nyangkut ada Motor Atas di Bambu di Sleman, Bisa Kok?",1.0
Jawab JakPro Protes Adhi Karya Tender soal JIS Proyek ke Diberi Wika,0.0
Gamblang pesan Poyuono Revisi UU Menolak KPK,1.0
"Mayat di Tebu Ladang Adalah Malang Begal, Dibunuh yang Dipalaknya Remaja",0.0
"Jenguk Habibie BJ, Ketua M Dewan Pers: Prosesnya Nuh Positif, Bagus",0.0
Presiden lokasi Istana di RI Papua 15 Menit Jembatan Lewat Holtekamp,0.0
Taman hiasan Afrika Asia Bandung di Rusak Diterjang Angin Kencang,0.0
"PB polemik Djarum dan KPAI, Zon Fadli Mestinya Bisa: Dimusyawarahkan",0.0
Ajukan pengacara Penangguhan Penahanan Zen Kivlan,0.0
Pria seorang Depresi Bakar Mobilnya Sendiri Tempat di Akhir Pembuangan,0.0
Eksepsi Boomerang Bassist Henry Hubert Kasus dalam Ganja Ditolak Hakim,0.0
"Habibie jenguk BJ di RSPAD, BPPT Kepala: Beliau Recovery Semangat",0.0
JK Jenguk Habibie di Gatot RSPAD Soebroto,0.0
"Mobil sebuah Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",0.0
Akan demokrat Bangun Museum Art dan SBY Gallery - Ani Pacitan di,0.0
Jamin mendagri Pelaksanaan UU Otsus Papua Dilanjutkan di,0.0
Cegah KPK Ketua Golkar Fraksi Melchias ke Mekeng Luar Negeri,0.0
"Tegaskan Dukung Pemerintah PD, Kami: Pernah Kenal Tak Oposisi",0.0
"Peredaran Snack Tanpa Dibongkar Izin, Omzet Sebulan Rp Capai 1, Miliar 5",0.0
"Pria mayat Ditemukan Kalimalang Bekasi di, Diduga Korban Tenggelam",0.0
"Pesan Habibie Anak Penjenguk ke: Mohon Dimengerti, Perlu Istirahat Bapak",0.0
KPK Curhat Korupsi Tak Pencegahan Dianggap Banyak: Negara Uang Diselamatkan,0.0
Inisiasi ACT Gerakan # Nasional IndonesiaDermawan,0.0
Dukung demokrat Jokowi Langkah Istana Bangun di Papua,0.0
HAM menkum Sudah Draf Kaji Revisi KPK UU,0.0
Gelar Diskusi MPR Evaluasi UUD Pelaksanaan di Yogyakarta,0.0
Detik detik - Kendaraan Lima Kecelakaan Alami Beruntun di Cipularang,1.0
Kocak! di Maling Rumah Mewah Jakut Terekam Bingung CCTV Cari Jalan Kabur,1.0
"Selidiki Dibuang Kasus Ular di Asrama Papua, Akses Polisi Terganjal Masuk",0.0
KPK Tanggapi DPR: Hukum Penegakan Tak Boleh Terikat Politik Komitmen,0.0
Barista kronologi Tikam Siswi SMK karena Bandung Ditolak Cinta,0.0
Sebut pengacara Kivlan Dakwaan Zen Dipaksakan,0.0
Polisi Tembak Belanda Istri Mati 2 dan Putrinya Lalu Diri Bunuh,0.0
6 Bersebo Perampok Tembak hingga Warga Tewas Sumsel di,0.0
"Jadi tepis Penyebab Kabut Tunggal Asap, Akan RI Malaysia Surati",0.0
"Jokowi Diminta Mekarkan Wilayah Papua JK, : Undang Ada - undangnya",0.0
"JK respons KPK, SP3 Sebut Bisa Disalahgunakan",0.0
"Hampir Jabar Seluas, Tantangan Sintang Ini Siapkan Generasi Emas",1.0
"Viral video Baku Diduga Tembak di Sleman, Ini Polisi Kata",1.0
Kadis PU dan 2 PNS Kabupaten Natal Mandailing Ditahan Sumut Kejati,0.0
"Banding Ditolak, Politik Hak Eks Bupati Dicabut Hakim Katingan",0.0
"SK gadai yang Wajar Hal, Surabaya DPRD: Tak Bank Banyak yang Melirik",0.0
"Karyawan Pabrik Boneka, Polisi Keracunan Sayur Sita Nangka",0.0
"4 kecelakaan Beruntun Kendaraan Lenteng di Agung, 2 Pemotor Luka luka -",0.0
"KPK Bongkar Mafia Transaksi Migas: Lintas Negara, Tak Mudah Diungkap",0.0
"Hong di diawasi Kong, Joshua Aktivis Wong Terbang ke Berlin",0.0
Anggota DPRD Surabaya Gadaikan Jaminan SK Sebagai untuk Gaji Potong,0.0
Jenguk ical BJ di Habibie RSPAD Kita: yang Doakan Terbaik,0.0
175 dan Orang 4 Korporasi Jadi Karhutla Tersangka Sumatera di Kalimantan -,0.0
Gubernur Edy Tahu Belum Miliaran Uang Milik Hilang Pemprov,0.0
Alumni giliran Unnes Serukan Revisi Tolak KPK UU,0.0
