title,label_score
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",0.0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,0.0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,1.0
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",0.0
"Terkait Mayat Bayi Mengenaskan di Tangerang, Seorang Pria Ditangkap Polisi",0.0
"Uang Rp 1,6 M yang Raib di Parkiran Kantor Gubernur Sumut untuk Honor TAPD",0.0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,0.0
Muncul Istana di Tengah Rekonsiliasi Rusuh Papua,0.0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",0.0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",0.0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,0.0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",1.0
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,0.0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,1.0
"Mayat di Ladang Tebu Malang Adalah Begal, Dibunuh Remaja yang Dipalaknya",0.0
"Jenguk BJ Habibie, Ketua Dewan Pers M Nuh: Prosesnya Positif, Bagus",0.0
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,0.0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,0.0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",0.0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,0.0
Seorang Pria Depresi Bakar Mobilnya Sendiri di Tempat Pembuangan Akhir,0.0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,0.0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",0.0
