title,label_score
"Masuk Pilwalkot Radar Medan, Menantu Jokowi DPW NasDem Sumut Bertemu",0
Malaysia RI Sudutkan Isu Kabut: Asap hingga Invasi Babi,0
! viral Driver Ojol di Bekasi Makanan Antar Pesanan Sepeda Pakai,1
"Kemensos Salurkan Rp 7, M 3 bagi Korban Kerusuhan Sosial Papua di",0
"Mayat terkait Bayi Mengenaskan Tangerang di, Seorang Ditangkap Polisi Pria",0
"Uang Rp 1, M yang 6 Raib di Parkiran Gubernur Kantor Sumut untuk Honor TAPD",0
MPR Amandemen: UUD 1945 Tak ke Akan Melebar Mana mana -,0
Istana muncul Tengah di Rekonsiliasi Papua Rusuh,0
"Peringati Tahun Baru Islam, Kembali Banyuwangi Gelar Festival Muharam",0
"Asal wanita Kendari Nyaris di Jalanan Diperkosa Makassar, Diburu Pelaku",0
HNW GBHN Sebut Jamin Pembangunan Rencana RI Panjang Jangka,0
"Motor Nyangkut ada di Bambu Atas Sleman di, Kok Bisa?",1
Jawab Protes Adhi JakPro Karya soal Tender Proyek Diberi JIS ke Wika,0
Poyuono pesan Gamblang Menolak UU Revisi KPK,1
"Mayat di Ladang Malang Tebu Adalah Begal, Dibunuh Remaja Dipalaknya yang",0
"BJ Habibie jenguk, Ketua Dewan M Nuh Pers Prosesnya: Positif, Bagus",0
Lokasi Presiden RI Istana di 15 Papua Lewat Menit Jembatan Holtekamp,0
Taman hiasan Asia di Bandung Afrika Rusak Diterjang Angin Kencang,0
"PB Djarum polemik KPAI dan Fadli, Zon: Mestinya Bisa Dimusyawarahkan",0
Ajukan pengacara Penangguhan Penahanan Zen Kivlan,0
Seorang Pria Depresi Bakar Sendiri Mobilnya Tempat di Akhir Pembuangan,0
Eksepsi Bassist Boomerang Hubert dalam Henry Kasus Hakim Ganja Ditolak,0
"Jenguk BJ di RSPAD Habibie, BPPT: Kepala Beliau Semangat Recovery",0
Jenguk JK di RSPAD Habibie Gatot Soebroto,0
"Mobil sebuah Tertimpa Pohon di Indah Pondok, Terluka Pengemudi",0
Akan demokrat Museum Bangun dan Art Gallery SBY - Ani di Pacitan,0
Jamin Pelaksanaan mendagri UU di Otsus Papua Dilanjutkan,0
KPK Ketua Cegah Fraksi Melchias Golkar Mekeng ke Negeri Luar,0
"Dukung tegaskan Pemerintah, : PD Tak Kami Kenal Pernah Oposisi",0
"Peredaran Tanpa Snack Izin Dibongkar, Omzet Sebulan Capai 1 Rp, Miliar 5",0
"Mayat di Pria Ditemukan Kalimalang Bekasi Diduga, Korban Tenggelam",0
"Pesan Anak ke Penjenguk Habibie: Mohon Dimengerti, Istirahat Bapak Perlu",0
Curhat KPK Pencegahan Korupsi Tak Dianggap: Banyak Uang Diselamatkan Negara,0
ACT Nasional Inisiasi Gerakan # IndonesiaDermawan,0
Langkah demokrat Dukung Bangun Jokowi Istana di Papua,0
HAM menkum Kaji Sudah Draf Revisi KPK UU,0
Gelar MPR Diskusi Pelaksanaan Evaluasi UUD Yogyakarta di,0
- detik detik Kendaraan Lima Alami Beruntun Kecelakaan di Cipularang,1
! kocak Maling Rumah di Mewah Terekam Jakut CCTV Bingung Cari Kabur Jalan,1
"Selidiki Kasus Dibuang Ular Papua di Asrama Polisi, Terganjal Akses Masuk",0
Tanggapi KPK: DPR Penegakan Hukum Tak Boleh Politik Terikat Komitmen,0
Kronologi Barista Siswi Tikam SMK Bandung Ditolak karena Cinta,0
Dakwaan pengacara Sebut Kivlan Zen Dipaksakan,0
Polisi Belanda Mati Tembak Istri dan 2 Putrinya Bunuh Lalu Diri,0
6 perampok Bersebo Tembak Warga hingga Tewas Sumsel di,0
"Jadi tepis Penyebab Tunggal Kabut Asap, RI Akan Malaysia Surati",0
"Diminta jokowi Wilayah Mekarkan, Papua JK: Undang Ada - undangnya",0
"Respons JK, Sebut KPK SP3 Bisa Disalahgunakan",0
"Seluas hampir, Jabar Ini Sintang Tantangan Siapkan Generasi Emas",1
"Video viral Tembak Diduga di Baku Sleman, Ini Kata Polisi",1
kadis PU dan 2 PNS Kabupaten Mandailing Kejati Natal Ditahan Sumut,0
"Ditolak banding Hak, Politik Eks Katingan Bupati Dicabut Hakim",0
"Hal gadai SK yang Wajar, Surabaya DPRD: Banyak Tak yang Bank Melirik",0
"Pabrik karyawan Boneka Keracunan Polisi, Sayur Sita Nangka",0
"Beruntun kecelakaan Kendaraan 4 di Lenteng Agung, Pemotor 2 Luka luka -",0
"KPK bongkar Mafia Migas: Transaksi Lintas Negara, Mudah Diungkap Tak",0
"Di diawasi Hong, Kong Aktivis Wong Joshua ke Terbang Berlin",0
Anggota Gadaikan DPRD Surabaya SK Sebagai Jaminan untuk Gaji Potong,0
Ical BJ Habibie Jenguk di RSPAD Kita: Doakan Terbaik yang,0
Orang 175 dan 4 Jadi Korporasi Karhutla Tersangka Sumatera di - Kalimantan,0
Gubernur Belum Edy Tahu Uang Milik Miliaran Hilang Pemprov,0
Alumni giliran Unnes Revisi Serukan Tolak UU KPK,0
Fenomena SK Gadai Anggota Dewan Juga Terjadi di DPRD Serang,0
Akademisi Mahasiswa dan Tolak Unair Revisi KPK UU,0
"Pegawai Surati KPK Fraksi, di DPR Minta Pilih Tak Capim Lemahkan yang KPK",0
"! waspada Penipuan Ada Pertamina Catut, Korbannya Puluhan Rugi Juta",1
: ekoturisme Pelajaran Besar dari Negara Kecil,0
"5 refleksi Tahun RI DPD, OSO: Ada Kami Daerah untuk",0
