Unnamed: 0.1,Unnamed: 0,title,category,has_exclamation,has_question,has_number,num_count,mark_count,original_title,label_score
101,101,guru kemari muhammadiyah y _ _ _,Berita_indonesia,0,0,1,2,0,40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,0
8448,8448,tiga demi wita _ bulan onadio ronaldo karunia _ _,Hiburan_&_Selebriti,0,0,0,0,1,"Tiga Bulan Nikah, Onadio Ronaldo Dikaruniai Anak Pertama Berwajah Ganteng",1
7372,7372,_ mencerdaskan tanoto buat bakal komentarmuat _ _ ikn _ jadi kaltim begini mudah peran _,Berita_indonesia,0,0,0,0,1,"Sosok Sukanto Tanoto yang Bakal Buat Pengadaan Lahan IKN di Kaltim jadi Mudah, Begini Perannya",1
5720,5720,Intra _ sumut lantik _,Regional_&_Daerah,0,0,1,3,0,100 Anggota DPRD Provinsi Sumut Dilantik,0
6806,6806,polisi _ temu mayat kehal _,Berita_indonesia,0,0,1,2,0,Polisi di Meksiko Temukan 44 Mayat yang Dimutilasi,0
1206,1206,Yang fakta _ paku _ ngangg _,Hiburan_&_Selebriti,0,0,1,3,0,Fakta Lengkap Produce X101 yang Perlu Kamu Tahu,1
5869,5869,_ ketua sebut kpk rw _ citra _ lembaga,Berita_indonesia,0,0,0,0,0,Ketua KPK Sebut Isu Taliban untuk Rusak Citra Lembaganya,0
1862,1862,_ ethan di defisit _ smartphon cara _,Teknologi_&_Sains,0,1,0,0,1,"Video YouTube ""Lemot"" di Smartphone? Ini Cara Mengatasinya",1
6232,6232,Kpk _ anggap _ mafia sda _,Berita_indonesia,0,0,0,0,0,Revisi UU KPK Dianggap Berpotensi Untungkan Mafia SDA,0
1476,1476,_ darah hamengku _ berhatihati irish,Hiburan_&_Selebriti,0,0,0,0,1,"Sempat Alami Pendarahan, Irish Bella Lebih Berhati-Hati",0
5494,5494,_ indonesiamalaysia hoak bilamana sama _ govern malin _,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Tangani Hoaks, Indonesia-Malaysia Kerja Sama Bidang Government Public Relation",0
7662,7662,_ _ lintas akhir heboh rili lambang dik _ _ keren,Hiburan_&_Selebriti,0,0,0,0,1,"Liriknya Sempat Bikin Heboh, Zico Akhirnya Rilis MV Keren Untuk 'Extreme'",1
1947,1947,_ vs arsen watford the pengin _ gunner _,Olahraga,0,0,1,1,1,"Watford Vs Arsenal, The Gunners Gagal Pertahankan Keunggulan 2 Gol ",0
4121,4121,Diulas jabar _ transportasi dividen _,Berita_indonesia,0,0,0,0,0,Pemprov Jabar Dorong Transportasi Juara,0
5578,5578,bnn _ _ indonesia traf turun,Regional_&_Daerah,0,0,1,2,0,BNN Klaim Penyelundupan Narkotika ke Indonesia Menurun 30%,0
1352,1352,sinopsi _ sinetron wel _ mei,Hiburan_&_Selebriti,0,0,1,5,1,"Sinopsis Sinetron 'CINTA BUTA' Tayang Senin, 6 Mei 2019",0
8535,8535,Ratus kebumen _ bakar mendo _ _ _ bris di ini,Regional_&_Daerah,0,0,0,0,0,Ratusan Korban Kebakaran di Setiabudi Mengungsi di RPTRA Kebon Sawo Malam Ini,0
1267,1267,_ sinetron memperingati _ mehnaz marinez ingin coba y _,Hiburan_&_Selebriti,0,0,0,0,1,"Kenyang Pengalaman Main Sinetron, Mehnaz Marinez Ingin Coba Film Layar Lebar",0
7047,7047,_ kivlan export _ zen telur _ sita tetap jalan _ _ silah selatan pn,Berita_indonesia,0,0,0,0,0,Sidang Praperadilan Kivlan Zen Soal Penyitaan Ponsel dan Mobil Tetap Berjalan di PN Jakarta Selatan,0
4357,4357,_ lng blitar bandung _ pengin,Olahraga,0,0,0,0,0,Pelatih Blitar Bandung United Mengundurkan Diri,0
8088,8088,seksi _ _ bahan _ _ kerak meja cara _ jalan haid akr aneh,Hiburan_&_Selebriti,0,1,0,0,2," Millendaru Seksi Pakai Baju Kurang Bahan Mirip Taplak Meja, Cara Jalan Aneh Disorot Lagi Haid?",1
7654,7654,Personel terkej girl jangankan _ _ buruk tamp kpop _,Hiburan_&_Selebriti,0,0,1,1,0,Personel Girl Grup Ini Beber 5 Pengalaman Terburuk Selama Jadi Idol K-Pop,1
4366,4366,gejalag kukuh bagai ilmu _ _ stik _,Berita_indonesia,0,0,0,0,0,Yasonna Dikukuhkan Sebagai Guru Besar Ilmu Kriminologi STIK,0
2367,2367,Bayar _ di _ _ dapat kerakyatan tunggak sebanyak pajak,Berita_indonesia,0,0,0,0,0,Warga Harus Bayar di Kantor Samsat untuk Dapat Potongan Tunggakan Pajak,0
6081,6081,hamzah fahri sa skpd _ _,Berita_indonesia,0,0,0,0,0,Fahri Hamzah: BJ Habibie Layak Dapat Nobel,0
4824,4824,_ habibi peneb _ teknolog dau _ ingin,Berita_indonesia,0,0,0,0,1,"BJ Habibie, Bapak Teknologi yang Ingin Indonesia Mandiri",0
3666,3666,_ jadi _ mempekerjakan ini firli,Berita_indonesia,0,0,0,0,1," Jadi Pimpinan KPK, Ini Gebrakan Firli Bahuri   ",1
6234,6234,_ liga kepan sekitarnya _ pindah _,Olahraga,0,0,1,3,0,Bursa Transfer Liga 1: Daftar Lengkap Perpindahan Pemain 18 Klub,0
7556,7556,usai _ anggota muda dpr hillari pam _ _ _ ung,Berita_indonesia,0,0,0,0,1,"Usai Dilantik, Anggota DPR Termuda Hillary Lasut Langsung 'Serang' RKUHP",1
8073,8073,tembak _ _ beck yuk urea kato aldiano _,Hiburan_&_Selebriti,0,1,0,0,2," 'Ditembak' Dimas Beck, Yuki Kato Lebih Pilih Vidi Aldiano?",1
5031,5031,_ _ revisi perintah uu telusuri _,Berita_indonesia,0,0,0,0,0,DPR dan Pemerintah Kebut Pengesahan Revisi UU Pemasyarakatan,0
6748,6748,_ uu bertuliskan kpk _ _ bumd sebut dinami,Berita_indonesia,0,0,0,0,1,"Revisi UU KPK, Pembahasan di Baleg DPR Disebut Dinamis",0
2473,2473,_ nyai hari di luas _ _,Berita_indonesia,0,0,1,3,0,Ada 941 Pelanggaran di Hari Pertama Perluasan Ganjil Genap,0
6942,6942,pupr _ _ calon menyimpang lokasi awan _ di,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Menteri PUPR Bocorkan Lokasi Calon Istana Presiden di Papua,0
3281,3281,Usaha _ links _ kait segel,Berita_indonesia,0,0,0,0,0,Perusahaan Sawit Malaysia Disegel Terkait Karhutla Riau,0
3481,3481,inku koleksi _ ta bikin _ pnpm jiwa netizen _,Gaya_Hidup_&_Kesehatan,0,0,1,1,0,5 Koleksi Tas Mewah Lucinta Luna Bikin Jiwa Miskin Netizen Meronta-ronta,1
5065,5065,kenal _ mobil ridwan _ _ butuh sebut,Regional_&_Daerah,0,0,0,0,1,"Perkenalkan Mobil Kancil, Ridwan Kamil Sebut Sesuai Kebutuhan Warga",0
6278,6278,_ bergaransi _ penghap mcdeliveri night,Gaya_Hidup_&_Kesehatan,0,0,0,0,0,McDonald Luncurkan McDelivery Night In,0
2054,2054,hantam _ sink _ lowongan _ hilang,Berita_indonesia,0,0,1,1,1,"Perahu Dihantam Ombak, 2 Nelayan di Cilacap Hilang",0
